Job Name,Job Level,Company Name,City,Area,Country,Skills
Teacher Assistant,Senior,"The Ritz-Carlton Hotel Company, L.L.C.",Denpasar,Dangin Puri,Indonesia,"['Assisting', 'Ambitious', 'Problem Solving', 'Teaching']"
Data Science Tutor,Intermediate,Digital Skola,Bekasi,West Java,Indonesia,"['Mandarin', 'Teaching', 'Tutoring']"
International English Teacher,Entry Level,Kodland,Cilacap,Central Java,Indonesia,"['Communication', 'Coaching', 'Mandarin', 'Training Plans']"
school counselor,Entry Level,PT. Koding Next Indonesia,Sangereng,Panunggangan Barat,Indonesia,['Willing to Learn']
French tutor,Intermediate,Rakids Learning Center,Tangerang,Banten,Indonesia,"['Lesson Planning', 'Mandarin', 'Teaching']"
International English Teacher,Senior,Yayasan Elfa Sunna,Depok,Bogor,Indonesia,['Ambitious']
Homeroom Teacher,Intermediate,E-cube,Jepara,Central Java,Indonesia,"['Zoom', 'Training Plans', 'Mandarin']"
Islamic Religion Teacher,Entry Level,Global Jaya International School,Depok,Bogor,Indonesia,"['Ambitious', 'Assisting']"
Private Tutor,Intermediate,One Third Consulting and Abroad,Palembang,South Sumatra,Indonesia,"['Zoom', 'Teaching']"
Primary English Teacher,Senior,Morphoo School,Semarang,Central Java,Indonesia,"['Curriculum Development', 'English']"
homeschooling teacher,Intermediate,PT. Infinite Potensi,Tangerang,Banten,Indonesia,"['Problem Solving', 'Assisting', 'Mentoring']"
Sociology Teacher,Senior,Global Jaya International School,Bandar Lampung,Lampung,Indonesia,"['Team Work', 'Adaptable', 'Training Plans']"
Tutor IELTS (Part-time),Intermediate,The Gandhi Memorial Intercontinental School,Cilacap,Central Java,Indonesia,"['Disciplinaries', 'E-Learning', 'Curriculum Development', 'Exploration']"
homeschooling teacher,Senior,Practicum USA,Jakarta,Java,Indonesia,"['Adaptable', 'Tutoring', 'Teaching']"
Research Assistant - Chinese Speaker,Intermediate,EF English First Batam,Bogor,West Java,Indonesia,"['Lesson Planning', 'Ambitious']"
History & geography Teacher,Intermediate,Yayasan Elfa Sunna,Surabaya,East Java,Indonesia,"['Adaptable', 'English', 'Team Work', 'Exploration']"
Vocal Teacher,Intermediate,Sekolah Citra Kasih,Sumedang,West Java,Indonesia,"['English', 'Training Plans']"
"Scratch Tutor (Coding, Remote, Indonesia)",Intermediate,Oxbridge International School,Bandung,West Java,Indonesia,['Training Plans']
Part Time Tutor,Entry Level,Practicum USA,Makassar,South Sulawesi,Indonesia,"['Lesson Planning', 'Exploration', 'Zoom']"
Japanese and Mandarin Tutor,Entry Level,PT. Koding Next Indonesia,Sumedang,West Java,Indonesia,"['Training Plans', 'Willing to Learn', 'Lesson Planning']"
Music and Vocal Teacher,Entry Level,St. Johannes Berchmans,Bandar Lampung,Lampung,Indonesia,['Exploration']
Sociology Teacher,Entry Level,St. Johannes Berchmans,Semarang,Central Java,Indonesia,"['Adaptable', 'Willing to Learn', 'Disciplinaries']"
Pharmacy Lecturer,Intermediate,LancarBahasa.ID,Bandung,West Java,Indonesia,"['Curriculum Development', 'Mentoring']"
Master Teacher Social Studies,Entry Level,Guardian Jobs,Palembang,South Sumatra,Indonesia,"['Adaptable', 'Zoom', 'Lesson Planning', 'Mentoring']"
Digital Marketing Tutor,Intermediate,EF English First Batam,Bandung,West Java,Indonesia,"['Team Work', 'Exploration', 'Training Plans']"
Christian Religion Teacher,Intermediate,Kodland,Cilacap,Central Java,Indonesia,"['Team Work', 'Tutoring', 'Disciplinaries']"
Elementary IT Teacher,Senior,Concentrix,Jepara,Central Java,Indonesia,"['Mentoring', 'English']"
Visual Arts Teacher,Senior,Marriott,Sumedang,West Java,Indonesia,"['Curriculum Development', 'Team Work', 'Training Plans']"
Chemistry Teacher,Senior,PT. Koding Next Indonesia,Bekasi,West Java,Indonesia,"['Team Work', 'Mentoring', 'Zoom', 'Adaptable']"
Physical Education Teacher,Entry Level,Helpmate course,Cilacap,Central Java,Indonesia,['Zoom']
Master Teacher Mathematics,Entry Level,LancarBahasa.ID,Makassar,South Sulawesi,Indonesia,"['Exploration', 'Teaching']"
International English Teacher,Entry Level,Kodingbean,Jakarta,Java,Indonesia,"['Mentoring', 'Tutoring']"
TIK / Computer Teacher,Senior,LancarBahasa.ID,Semarang,Central Java,Indonesia,"['Exploration', 'E-Learning', 'Training Plans', 'English']"
3D Tutor for CG Fundamentals,Senior,Marriott,Bandung,West Java,Indonesia,"['Curriculum Development', 'Tutoring']"
Elementary IT Teacher,Entry Level,Sekolah Pelita Bangsa,Bogor,West Java,Indonesia,['E-Learning']
Pharmacy Lecturer,Senior,Widya Edutech,Sumedang,West Java,Indonesia,"['Problem Solving', 'Mentoring']"
Tutor Baby Class,Entry Level,SPK My Little Island School,Malang,Kota Malang,Indonesia,"['Exploration', 'Mentoring', 'English']"
Psychology Lecturer,Senior,LancarBahasa.ID,Cilacap,Central Java,Indonesia,"['Exploration', 'Training Plans', 'Ambitious', 'Curriculum Development']"
Python Tutor,Senior,Rakids Learning Center,Medan,North Sumatra,Indonesia,"['Tutoring', 'Exploration', 'E-Learning']"
